anlaegsbetydning,en_anlaegsbetydning,fa-icon,counts,most_frequent_datering,datering_distributions
Rundhøj,Rundhøj,dhl,90937,Oldtid,"{'Oldtid': 79423, 'Stenalder': 8774, 'Bronzealder': 2130, 'Jernalder': 496, 'Vikingetid': 69, 'Udateret': 39, 'Nyere tid': 4, 'Historisk Tid': 2}"
Enkeltfund,Single find,leaf,56169,Stenalder,"{'Stenalder': 33430, 'Jernalder': 6092, 'Oldtid': 4323, 'Middelalder': 2846, 'Bronzealder': 2822, 'Udateret': 2520, 'Historisk Tid': 1899, 'Vikingetid': 1344, 'Nyere tid': 609, 'Efterreformatorisk tid': 284}"
"Bosættelse, uspec undergruppe","Bosage, unspecified subgroup",crop,9858,Jernalder,"{'Jernalder': 3273, 'Stenalder': 2769, 'Oldtid': 1798, 'Bronzealder': 907, 'Middelalder': 357, 'Udateret': 281, 'Historisk Tid': 192, 'Vikingetid': 167, 'Nyere tid': 83, 'Efterreformatorisk tid': 31}"
Brandgrav (uspecificeret type),Fireburst (unspecified type),fire,9318,Oldtid,"{'Oldtid': 4157, 'Bronzealder': 3252, 'Jernalder': 1853, 'Vikingetid': 28, 'Stenalder': 22, 'Udateret': 3, 'Nyere tid': 2, 'Historisk Tid': 1}"
Hus (evt. med stald),House (if applicable with stable),table,8134,Jernalder,"{'Jernalder': 3851, 'Bronzealder': 1109, 'Oldtid': 1076, 'Middelalder': 598, 'Stenalder': 524, 'Vikingetid': 259, 'Historisk Tid': 247, 'Udateret': 213, 'Nyere tid': 189, 'Efterreformatorisk tid': 68}"
Gravgenstand,Gravity,grav,7943,Stenalder,"{'Stenalder': 3276, 'Bronzealder': 2534, 'Oldtid': 1448, 'Jernalder': 612, 'Vikingetid': 47, 'Udateret': 10, 'Historisk Tid': 8, 'Middelalder': 5, 'Nyere tid': 3}"
Affaldsgrube,Waste pit,paste,7889,Jernalder,"{'Jernalder': 3237, 'Oldtid': 1957, 'Bronzealder': 1142, 'Stenalder': 917, 'Middelalder': 246, 'Historisk Tid': 108, 'Udateret': 106, 'Nyere tid': 98, 'Vikingetid': 50, 'Efterreformatorisk tid': 28}"
Jordfæstegrav,Soil grave,grav,6643,Jernalder,"{'Jernalder': 2162, 'Stenalder': 1941, 'Bronzealder': 1377, 'Oldtid': 804, 'Vikingetid': 224, 'Historisk Tid': 36, 'Middelalder': 35, 'Udateret': 35, 'Nyere tid': 27, 'Efterreformatorisk tid': 2}"
Dysse eller jættestue,Dysse or jogging room,broom,5743,Stenalder,"{'Stenalder': 5741, 'Oldtid': 2}"
Kogegrube,Cooking pit,cookie,5056,Oldtid,"{'Oldtid': 3312, 'Bronzealder': 791, 'Jernalder': 739, 'Stenalder': 108, 'Udateret': 82, 'Vikingetid': 15, 'Middelalder': 5, 'Historisk Tid': 4}"
Kulturlag,Culture layer,play,4877,Stenalder,"{'Stenalder': 1202, 'Jernalder': 1042, 'Historisk Tid': 613, 'Oldtid': 581, 'Middelalder': 558, 'Nyere tid': 349, 'Bronzealder': 228, 'Udateret': 142, 'Efterreformatorisk tid': 108, 'Vikingetid': 54}"
Møntfund,Mont find,mountain,4159,Middelalder,"{'Middelalder': 1964, 'Jernalder': 546, 'Historisk Tid': 430, 'Nyere tid': 411, 'Vikingetid': 384, 'Efterreformatorisk tid': 223, 'Udateret': 197, 'Oldtid': 3, 'Stenalder': 1}"
Grube (uspecificeret funktion),Grub (unspecified function),file,3899,Oldtid,"{'Oldtid': 1120, 'Udateret': 933, 'Jernalder': 871, 'Stenalder': 352, 'Bronzealder': 269, 'Nyere tid': 162, 'Historisk Tid': 103, 'Middelalder': 62, 'Vikingetid': 23, 'Efterreformatorisk tid': 4}"
Langhøj,Long tall,long-arrow-alt-down,3523,Stenalder,"{'Stenalder': 2827, 'Oldtid': 661, 'Bronzealder': 25, 'Jernalder': 4, 'Vikingetid': 4, 'Udateret': 2}"
Stenbygget grav,Stone-built grave,grav,2673,Oldtid,"{'Oldtid': 1478, 'Stenalder': 700, 'Jernalder': 275, 'Bronzealder': 211, 'Historisk Tid': 3, 'Middelalder': 2, 'Vikingetid': 2, 'Nyere tid': 1, 'Udateret': 1}"
Stenkiste,Stone coffin,store,2400,Bronzealder,"{'Bronzealder': 922, 'Oldtid': 675, 'Stenalder': 530, 'Jernalder': 258, 'Vikingetid': 5, 'Middelalder': 3, 'Nyere tid': 3, 'Udateret': 3, 'Efterreformatorisk tid': 1}"
