anlaegsbetydning,en_anlaegsbetydning,fa-icon,counts,most_frequent_datering,datering_distributions,definition,web_search_sources
Rundhøj,RundhÃ¸j,dhl,90937,Oldtid,"{'Oldtid': 79423, 'Stenalder': 8774, 'Bronzealder': 2130, 'Jernalder': 496, 'Vikingetid': 69, 'Udateret': 39, 'Nyere tid': 4, 'Historisk Tid': 2}","En rundhøj er typisk en rund gravhøj fra stenalderen, hvor den døde blev begravet i en jordgrav, der blev dækket af en høj.","['https://en.wikipedia.org/wiki/Round_barrow', 'https://da.wikipedia.org/wiki/Gravh%C3%B8j']"
Enkeltfund,Single find,leaf,56169,Stenalder,"{'Stenalder': 33430, 'Jernalder': 6092, 'Oldtid': 4323, 'Middelalder': 2846, 'Bronzealder': 2822, 'Udateret': 2520, 'Historisk Tid': 1899, 'Vikingetid': 1344, 'Nyere tid': 609, 'Efterreformatorisk tid': 284}","Et enkeltfund er et fint eller usædvanligt genstand fra fortiden, som fx et smykke, en våben eller et keramikfat.","['https://www.cambridge.org/core/journals/antiquity/article/mesolithic-dwelling-places-in-south-scandinavia-their-definition-and-social-interpretation/E27F43834B68477549331D7D7D22BC4C', 'https://en.wikipedia.org/wiki/Danish_krone']"
"Bosættelse, uspec undergruppe","Installation, unspecified subgroup",icons,9858,Jernalder,"{'Jernalder': 3273, 'Stenalder': 2769, 'Oldtid': 1798, 'Bronzealder': 907, 'Middelalder': 357, 'Udateret': 281, 'Historisk Tid': 192, 'Vikingetid': 167, 'Nyere tid': 83, 'Efterreformatorisk tid': 31}","Bosættelsen består af et samlet område, hvor der har været menneskelig aktivitet, herunder bebyggelse, over en længere periode.","['https://slks.dk/arkaeologisk-strategier/bronzealder-1800-500-fkr/forundersoegelses-og-undersoegelsespraksis', 'https://da.wikipedia.org/wiki/Vikingetid', 'https://trap.lex.dk/Rundh%C3%B8j,_mv.,_Sneh%C3%B8i']"
Brandgrav (uspecificeret type),Fireburst (unspecified type),fire,9318,Oldtid,"{'Oldtid': 4157, 'Bronzealder': 3252, 'Jernalder': 1853, 'Vikingetid': 28, 'Stenalder': 22, 'Udateret': 3, 'Nyere tid': 2, 'Historisk Tid': 1}","En brandgrav er en grav, hvor den døde er blevet brændt og begravet enten i en nedgravning i jorden eller i en urne.","['https://trap.lex.dk/brandgrav', 'https://trap.lex.dk/Dronningeh%C3%B8i', 'https://danmarkshistorien.dk/perioder/gamle-periodekapitler/oldtid-indtil-ca-800/germansk-jernalder-400-800']"
Hus (evt. med stald),House (if applicable with stable),table,8134,Jernalder,"{'Jernalder': 3851, 'Bronzealder': 1109, 'Oldtid': 1076, 'Middelalder': 598, 'Stenalder': 524, 'Vikingetid': 259, 'Historisk Tid': 247, 'Udateret': 213, 'Nyere tid': 189, 'Efterreformatorisk tid': 68}","Et hus fra fortiden, ofte med tilbehør som f.eks. en stald, hvor der kan findes spor af husholdningsgenstande og andre bevægnelser.","['https://da.wikipedia.org/wiki/Fortidsmindefredning', 'https://msj.dk/kontakt/til-bygherren/fund-af-fortidsminder/']"
Gravgenstand,Gravity,grav,7943,Stenalder,"{'Stenalder': 3276, 'Bronzealder': 2534, 'Oldtid': 1448, 'Jernalder': 612, 'Vikingetid': 47, 'Udateret': 10, 'Historisk Tid': 8, 'Middelalder': 5, 'Nyere tid': 3}","Genstande, som er fundet i en grav, f.eks. smykker, våben eller keramik, som giver os viden om den dødes status og tro.",['https://da.wikipedia.org/wiki/Marija_Gimbutas']
Affaldsgrube,Waste pit,paste,7889,Jernalder,"{'Jernalder': 3237, 'Oldtid': 1957, 'Bronzealder': 1142, 'Stenalder': 917, 'Middelalder': 246, 'Historisk Tid': 108, 'Udateret': 106, 'Nyere tid': 98, 'Vikingetid': 50, 'Efterreformatorisk tid': 28}","En affaldsgrube er et hul i jorden, hvor gamle kulturers affald er blevet smidt, og som ofte indeholder genstande som f.eks. keramik, kødrester og planter.",['https://da.wikipedia.org/wiki/Marija_Gimbutas']
Jordfæstegrav,Peanut grave,grav,6643,Jernalder,"{'Jernalder': 2162, 'Stenalder': 1941, 'Bronzealder': 1377, 'Oldtid': 804, 'Vikingetid': 224, 'Historisk Tid': 36, 'Middelalder': 35, 'Udateret': 35, 'Nyere tid': 27, 'Efterreformatorisk tid': 2}","En jordfæstegrav er en grav, hvor den døde er blevet lagt ubrændt ned i en trækiste eller et hul i jorden, ofte indsvøbt i et skind.","['https://trap.lex.dk/jordf%C3%A6stegrav', 'https://slks.dk/arkaeologisk-strategier/jernalder-aej-500-fkr-400-ekr-yj-400-800-ekr-vikingetid-800-1050-ekr/gravfund', 'https://slks.dk/arkaeologisk-strategier/yngre-stenalder-3900-1800-fkr/grave']"
Dysse eller jættestue,Dyssis or passageway,ebay,5743,Stenalder,"{'Stenalder': 5741, 'Oldtid': 2}","En dysse eller jættestue er et stenaldergrav, hvor den døde er blevet begravet i en langdysse, som er en lang, smal jordhøj.","['https://trap.lex.dk/Dysse_eller_j%C3%A6ttestue,_Kong_Dyves_Sten', 'https://www.langeland.dk/langeland/oplevelser/fortidsminder', 'https://da.wikipedia.org/wiki/Fredede_fortidsminder_i_Aller%C3%B8d_Kommune', 'https://fynskefortidsminder.wordpress.com/2020/09/26/lindsbjerg-jaettestue/']"
Kogegrube,Cooking pit,cookie,5056,Oldtid,"{'Oldtid': 3312, 'Bronzealder': 791, 'Jernalder': 739, 'Stenalder': 108, 'Udateret': 82, 'Vikingetid': 15, 'Middelalder': 5, 'Historisk Tid': 4}","En kogegrube er et sted hvor mennesker i bronzealderen lavede mad over bål og fyldte hullet med trækul, sten og jord.",['https://slks.dk/arkaeologisk-strategier/bronzealder-1800-500-fkr/samlingspladser']
